,Open,Close,High,Low,Volume,Datetime,S
0,147.05,147.41,149.08,146.83,50546998,2023-02-28 00:46:40,
1,146.83,145.31,147.2285,145.01,55478991,2023-03-01 00:46:40,
2,144.38,145.91,146.71,143.9,52279761,2023-03-02 00:46:40,
3,148.045,151.03,151.11,147.33,70732297,2023-03-03 00:46:40,
4,153.785,153.83,156.3,153.46,87558028,2023-03-06 00:46:40,
5,153.7,151.6,154.0299,151.13,56182028,2023-03-07 00:46:40,
6,152.81,152.87,153.47,151.83,47204791,2023-03-08 00:46:40,
7,153.559,150.59,154.535,150.225,53833582,2023-03-09 00:46:40,
8,150.21,148.5,150.94,147.6096,68572400,2023-03-10 00:46:40,
9,147.805,150.47,153.14,147.7,84457122,2023-03-13 00:46:40,
10,151.28,152.59,153.4,150.1,73695893,2023-03-14 00:46:40,
11,151.19,152.99,153.245,149.92,77167866,2023-03-15 00:46:40,
12,152.16,155.85,156.46,151.64,76254419,2023-03-16 00:46:40,
13,156.08,155.0,156.74,154.28,98944633,2023-03-17 00:46:40,
14,155.07,157.4,157.82,154.15,73641415,2023-03-20 00:46:40,
15,157.32,159.28,159.4,156.54,73938285,2023-03-21 00:46:40,
16,159.3,157.83,162.14,157.81,75701811,2023-03-22 00:46:40,
17,158.83,158.93,161.5501,157.68,67622060,2023-03-23 00:46:40,
18,158.86,160.25,160.34,157.85,59256343,2023-03-24 00:46:40,
19,159.94,158.28,160.77,157.87,52390266,2023-03-27 00:46:40,
20,157.97,157.65,158.49,155.98,45992152,2023-03-28 00:46:40,
21,159.37,160.77,161.05,159.35,51305691,2023-03-29 00:46:40,
22,161.53,162.36,162.47,161.271,49501689,2023-03-30 00:46:40,
23,162.44,164.9,165.0,161.91,68749792,2023-03-31 00:46:40,
0,0.0,164.9099,0.0,0.0,0,0,0.0
